Timestamp,AQI,CO,NO2,O3,PM2.5,PM10
2026-05-08 16:49:43.233017,3,94.34,0.06,46.9,14.64,58.31
2026-05-08 16:50:03.763906,3,94.34,0.06,46.9,14.64,58.31
2026-05-08 16:50:11.696380,3,94.34,0.06,46.9,14.64,58.31
2026-05-08 16:50:35.326362,3,94.34,0.06,46.9,14.64,58.31
2026-05-08 16:50:39.690548,3,94.34,0.06,46.9,14.64,58.31
2026-05-08 16:50:43.404447,3,94.34,0.06,46.9,14.64,58.31
